shop_id,is_bad,open_months,avg_monthly_orders,order_volatility,interruption_count,avg_order_value,repurchase_rate,refund_rate,dispute_rate,positive_review_rate,gmv_yoy_growth,gmv_mom_volatility,sku_change_rate,revenue_trend_slope,customer_hhi,new_customer_ratio,customer_geo_entropy,avg_settlement_days,platform_penalty_count,abnormal_large_txn_ratio
SHOP000434,0,20.0,1.0,0.78,3,84.6,0.104,0.14,0.02,0.851,0.213,0.216,0.001,-0.361,0.222,0.618,1.094,3.0,0,0.028
SHOP000435,0,22.0,171.0,0.383,1,48.2,0.488,0.013,0.0,0.889,-0.001,0.264,0.05,1.854,0.187,0.404,2.524,3.9,0,0.019
SHOP000436,0,13.0,215.0,0.55,1,113.6,0.299,0.078,0.01,0.873,-0.009,0.143,-0.103,0.833,0.168,0.413,1.775,4.4,2,0.032
SHOP000437,0,19.0,297.0,0.295,0,112.6,0.467,0.039,0.015,0.946,0.435,0.207,0.06,1.314,0.124,0.608,2.068,3.1,0,0.028
SHOP000438,0,26.0,57.0,0.302,2,120.2,0.305,0.033,0.02,0.919,0.034,0.038,0.323,0.734,0.204,0.5,3.187,4.1,1,0.034
SHOP000439,1,19.0,169.0,0.329,3,29.0,0.302,0.027,0.054,0.836,-0.045,0.271,-0.079,0.92,0.19,0.709,2.273,2.7,1,0.036
SHOP000440,0,8.0,149.0,0.471,2,115.9,0.364,0.101,0.028,0.814,-0.12,0.226,0.163,-1.977,0.004,0.475,1.803,6.7,0,0.07
SHOP000441,1,32.0,99.0,0.334,0,88.5,0.435,0.067,0.043,1.0,-0.054,0.268,0.031,0.009,0.229,0.551,1.235,4.3,1,0.055
SHOP000442,1,17.0,134.0,0.744,2,122.7,0.446,0.119,0.042,0.713,-0.207,0.369,0.088,-1.201,0.166,0.674,1.995,5.6,0,0.053
SHOP000443,0,14.0,87.0,0.427,0,104.6,0.406,0.09,0.04,1.0,-0.302,0.312,-0.056,-0.221,0.229,0.243,1.349,2.7,0,0.0
SHOP000444,0,19.0,119.0,0.302,1,27.7,0.367,0.06,0.031,0.993,0.325,0.09,0.074,-0.026,0.213,0.579,1.452,2.4,1,0.036
SHOP000445,0,20.0,190.0,0.202,0,95.7,0.242,0.025,0.018,0.967,-0.043,0.157,0.107,1.574,0.097,0.354,2.224,5.1,0,0.013
SHOP000446,0,16.0,240.0,0.65,0,58.9,0.394,0.107,0.037,0.898,0.127,0.22,-0.022,-0.747,0.076,0.592,1.498,5.0,3,0.03
SHOP000447,0,26.0,135.0,0.234,2,95.7,0.42,0.109,0.047,0.855,0.128,0.225,0.083,0.426,0.206,0.423,1.081,3.7,1,0.022
SHOP000448,1,14.0,57.0,0.509,2,71.9,0.053,0.066,0.023,0.794,-0.195,0.406,-0.109,0.011,0.237,0.487,1.395,4.0,1,0.022
SHOP000449,0,23.0,100.0,0.166,1,157.6,0.33,0.091,0.024,0.887,-0.219,0.264,-0.131,-0.368,0.193,0.43,3.28,3.1,1,0.012
SHOP000450,1,31.0,261.0,0.291,1,84.7,0.194,0.09,0.036,0.869,0.078,0.142,-0.133,1.27,0.215,0.358,2.1,3.5,0,0.007
SHOP000451,0,18.0,83.0,0.311,1,81.4,0.27,0.076,0.024,0.954,-0.108,0.273,0.181,-0.363,0.117,0.447,2.315,5.7,0,0.038
SHOP000452,1,19.0,127.0,0.442,2,155.2,0.027,0.0,0.062,0.742,0.013,0.351,-0.076,-0.318,0.167,0.598,1.728,4.4,0,0.038
SHOP000453,1,15.0,18.0,0.654,3,35.2,0.126,0.078,0.043,0.828,0.485,0.195,0.048,0.016,0.159,0.444,1.394,5.1,2,0.073
SHOP000454,0,23.0,141.0,0.373,0,83.2,0.293,0.079,0.008,0.859,-0.063,0.177,0.253,-0.19,0.129,0.535,1.671,3.4,0,0.026
SHOP000455,0,12.0,84.0,0.389,0,29.6,0.371,0.095,0.019,0.962,-0.259,0.146,0.066,0.535,0.175,0.472,2.171,6.4,1,0.053
SHOP000456,0,20.0,170.0,0.562,2,107.4,0.221,0.09,0.059,0.89,0.043,0.205,0.061,-0.893,0.291,0.431,0.917,12.7,1,0.094
SHOP000457,0,37.0,248.0,0.592,1,24.5,0.469,0.07,0.017,0.858,-0.218,0.199,0.221,1.299,0.198,0.486,1.596,3.2,0,0.0
SHOP000458,0,30.0,152.0,0.429,2,70.6,0.413,0.079,0.055,0.991,0.335,0.226,0.046,-0.085,0.203,0.531,2.245,7.7,1,0.033
SHOP000459,0,12.0,304.0,0.261,1,109.2,0.374,0.095,0.017,0.894,-0.009,0.129,0.121,1.029,0.108,0.38,1.663,4.6,0,0.052
SHOP000460,0,26.0,126.0,0.511,1,110.2,0.392,0.094,0.06,0.883,0.252,0.313,-0.227,1.667,0.113,0.304,1.919,4.4,1,0.011
SHOP000461,0,20.0,116.0,0.318,1,79.6,0.249,0.058,0.011,1.0,0.019,0.123,0.059,0.62,0.169,0.466,2.035,4.6,0,0.022
SHOP000462,0,13.0,255.0,0.302,0,70.3,0.408,0.0,0.005,0.907,0.227,0.135,-0.02,2.506,0.037,0.299,2.095,2.7,0,0.017
SHOP000463,0,18.0,302.0,0.369,0,147.6,0.207,0.033,0.003,0.865,0.119,0.138,-0.025,1.055,0.168,0.318,2.623,2.9,0,0.029
SHOP000464,0,18.0,283.0,0.113,1,148.6,0.142,0.091,0.018,0.92,0.146,0.053,0.243,-0.852,0.143,0.628,2.309,1.4,1,0.008
SHOP000465,0,21.0,168.0,0.566,0,61.6,0.223,0.07,0.019,0.971,0.311,0.358,-0.029,0.829,0.222,0.573,2.592,3.7,0,0.002
SHOP000466,0,18.0,439.0,0.45,0,86.6,0.271,0.052,0.038,0.838,-0.169,0.244,0.134,2.191,0.179,0.332,1.988,4.5,1,0.016
SHOP000467,1,12.0,85.0,0.839,4,10.0,0.224,0.114,0.035,0.83,0.19,0.227,0.022,1.632,0.164,0.474,1.507,8.6,1,0.039
SHOP000468,0,25.0,149.0,0.546,0,92.7,0.302,0.054,0.014,0.812,-0.2,0.261,0.15,-1.183,0.218,0.371,2.186,9.0,1,0.083
SHOP000469,0,10.0,112.0,0.432,1,71.1,0.395,0.051,0.025,0.977,-0.047,0.18,0.036,-0.032,0.13,0.271,2.536,4.7,0,0.012
SHOP000470,0,10.0,1.0,0.347,2,25.6,0.446,0.11,0.034,0.916,0.217,0.286,0.076,-1.246,0.097,0.383,2.427,8.2,1,0.039
SHOP000471,0,24.0,76.0,0.367,0,90.4,0.326,0.065,0.014,0.846,-0.085,0.181,-0.113,1.162,0.206,0.419,1.784,3.0,2,0.007
SHOP000472,0,28.0,235.0,0.405,1,35.8,0.281,0.068,0.006,0.97,-0.104,0.265,-0.089,0.433,0.13,0.494,1.99,1.9,1,0.041
SHOP000473,0,22.0,9.0,0.378,2,46.1,0.467,0.096,0.026,0.942,0.104,0.242,0.147,-0.311,0.131,0.425,2.193,1.8,3,0.02
SHOP000474,0,8.0,156.0,0.404,2,50.4,0.24,0.135,0.018,0.925,-0.171,0.258,0.163,1.276,0.156,0.808,2.067,5.7,1,0.086
SHOP000475,0,18.0,162.0,0.365,1,51.4,0.239,0.046,0.037,0.945,0.03,0.287,-0.054,1.632,0.141,0.428,1.702,8.0,2,0.041
SHOP000476,1,10.0,83.0,0.244,3,30.1,0.152,0.09,0.054,0.705,-0.379,0.268,0.186,-0.723,0.101,0.728,1.609,8.8,1,0.059
SHOP000477,0,23.0,84.0,0.428,1,83.3,0.395,0.065,0.024,0.937,0.065,0.184,0.152,-0.296,0.084,0.355,2.162,6.9,0,0.021
SHOP000478,1,16.0,172.0,0.51,0,154.0,0.181,0.071,0.036,0.849,-0.007,0.265,0.16,1.74,0.178,0.608,1.644,5.2,1,0.024
SHOP000479,1,5.0,88.0,0.693,2,46.9,0.337,0.038,0.051,0.9,0.01,0.339,-0.002,0.649,0.23,0.565,1.658,3.4,1,0.033
SHOP000480,0,17.0,71.0,0.375,1,122.9,0.363,0.09,0.018,0.954,-0.295,0.249,0.239,-1.354,0.066,0.413,2.458,9.3,0,0.034
SHOP000481,1,5.0,38.0,0.904,0,116.2,0.14,0.017,0.018,0.79,0.076,0.158,-0.147,-3.465,0.194,0.591,1.706,5.5,1,0.033
SHOP000482,0,27.0,146.0,0.315,2,73.4,0.143,0.036,0.043,0.867,0.018,0.173,-0.17,1.61,0.196,0.759,1.14,6.9,1,0.037
SHOP000483,0,16.0,233.0,0.489,2,78.5,0.197,0.042,0.042,0.831,-0.1,0.138,-0.192,-0.905,0.21,0.545,1.509,5.8,1,0.065
SHOP000484,0,8.0,125.0,0.124,2,74.6,0.27,0.039,0.035,0.866,-0.089,0.23,-0.045,-0.105,0.124,0.365,2.495,4.8,1,0.03
SHOP000485,0,13.0,96.0,0.382,1,104.1,0.287,0.057,0.025,0.923,0.088,0.14,-0.006,-1.132,0.136,0.453,2.608,7.4,0,0.035
SHOP000486,0,11.0,167.0,0.275,0,58.8,0.138,0.015,0.017,0.95,-0.003,0.162,0.063,-0.358,0.161,0.263,2.36,7.3,0,0.038
SHOP000487,0,3.0,184.0,0.438,1,172.2,0.259,0.035,0.035,0.8,0.126,0.283,0.033,1.515,0.207,0.349,2.4,5.7,3,0.014
SHOP000488,0,27.0,331.0,0.337,0,77.3,0.449,0.038,0.007,0.927,0.034,0.203,-0.064,-0.167,0.104,0.351,2.96,3.3,0,0.062
SHOP000489,1,23.0,74.0,0.58,2,52.4,0.143,0.126,0.022,0.811,0.592,0.329,0.129,1.172,0.248,0.488,2.399,5.7,0,0.012
SHOP000490,0,24.0,161.0,0.478,1,131.3,0.324,0.145,0.029,0.797,0.125,0.3,0.145,-2.665,0.119,0.47,2.166,3.4,1,0.0
SHOP000491,1,21.0,201.0,0.467,3,118.5,0.268,0.099,0.055,0.857,0.375,0.195,0.065,-0.649,0.11,0.515,2.021,2.4,2,0.008
SHOP000492,0,7.0,305.0,0.314,0,36.3,0.312,0.065,0.028,0.935,-0.001,0.154,0.009,-0.05,0.059,0.56,1.581,9.1,0,0.045
SHOP000493,1,20.0,52.0,0.354,2,90.8,0.172,0.024,0.047,0.787,-0.052,0.246,-0.015,0.529,0.114,0.566,2.345,5.5,2,0.044
SHOP000494,0,7.0,115.0,0.349,2,54.2,0.299,0.077,0.014,0.876,0.162,0.262,-0.18,1.396,0.066,0.446,2.598,3.2,0,0.002
SHOP000495,1,18.0,135.0,0.532,0,68.9,0.113,0.126,0.052,0.939,-0.1,0.027,-0.27,2.055,0.117,0.661,1.209,6.9,1,0.027
SHOP000496,0,22.0,141.0,0.224,1,95.2,0.393,0.067,0.018,1.0,0.178,0.214,-0.022,3.131,0.168,0.297,2.621,6.8,2,0.007
SHOP000497,0,33.0,112.0,0.538,1,85.5,0.383,0.091,0.033,0.822,0.08,0.232,0.056,0.162,0.119,0.376,2.09,4.6,1,0.009
SHOP000498,0,24.0,240.0,0.244,1,114.6,0.401,0.075,0.012,0.914,-0.05,0.152,0.152,2.046,0.124,0.559,2.362,5.2,1,0.022
SHOP000499,0,16.0,288.0,0.278,1,86.7,0.334,0.06,0.019,0.933,0.294,0.177,-0.007,0.235,0.14,0.382,1.841,4.6,0,0.0
SHOP000500,1,17.0,15.0,0.525,1,24.1,0.117,0.031,0.074,0.779,-0.018,0.268,-0.035,0.295,0.166,0.502,1.187,2.4,0,0.097
SHOP000501,0,9.0,108.0,0.376,2,114.3,0.18,0.101,0.036,0.943,-0.155,0.292,0.113,0.389,0.024,0.429,1.666,5.1,1,0.057
SHOP000502,0,10.0,43.0,0.315,0,32.0,0.237,0.06,0.031,0.893,0.399,0.198,-0.016,-2.716,0.107,0.491,1.993,2.1,1,0.027
SHOP000503,0,21.0,203.0,0.283,4,114.2,0.297,0.045,0.019,0.948,-0.157,0.064,-0.084,2.952,0.072,0.414,1.925,5.2,1,0.031
SHOP000504,0,26.0,349.0,0.27,0,41.2,0.273,0.045,0.009,0.928,0.176,0.154,0.089,2.618,0.174,0.516,2.57,3.0,0,0.012
SHOP000505,0,20.0,220.0,0.524,1,112.0,0.283,0.044,0.028,0.856,0.136,0.136,0.007,1.45,0.145,0.486,2.357,3.9,0,0.041
SHOP000506,1,22.0,79.0,0.451,3,75.0,0.289,0.197,0.002,0.809,-0.062,0.33,0.133,-2.222,0.247,0.743,2.494,7.3,1,0.077
SHOP000507,1,12.0,116.0,0.35,2,102.0,0.277,0.077,0.018,0.798,-0.19,0.217,0.097,-0.063,0.258,0.613,1.962,5.8,0,0.04
SHOP000508,0,24.0,89.0,0.273,1,115.6,0.222,0.067,0.015,0.862,0.057,0.342,0.14,0.38,0.175,0.182,2.29,5.3,0,0.034
SHOP000509,1,17.0,236.0,0.355,1,79.4,0.28,0.086,0.03,0.95,-0.16,0.246,-0.187,0.201,0.227,0.465,2.129,5.5,2,0.0
SHOP000510,0,26.0,204.0,0.317,0,90.7,0.541,0.039,0.015,0.959,0.097,0.145,-0.168,0.16,0.078,0.292,2.256,3.2,0,0.024
SHOP000511,0,34.0,110.0,0.121,1,61.8,0.419,0.119,0.023,0.934,0.01,0.195,0.038,0.627,0.218,0.635,2.7,2.9,0,0.07
SHOP000512,0,14.0,85.0,0.636,0,78.0,0.282,0.086,0.026,0.884,0.057,0.246,-0.161,-1.317,0.146,0.614,2.442,0.9,0,0.076
SHOP000513,1,17.0,1.0,0.578,0,85.4,0.327,0.041,0.025,0.887,0.295,0.204,0.182,0.845,0.144,0.395,2.012,6.2,2,0.028
SHOP000514,1,23.0,55.0,0.316,2,209.6,0.172,0.065,0.028,0.814,0.241,0.261,0.326,-2.174,0.244,0.594,1.299,4.1,3,0.001
SHOP000515,0,16.0,168.0,0.402,3,98.4,0.309,0.065,0.038,0.841,0.238,0.239,-0.033,0.183,0.161,0.544,1.544,6.1,1,0.0
SHOP000516,0,17.0,306.0,0.596,2,83.5,0.395,0.092,0.017,0.837,0.268,0.305,-0.226,-1.171,0.171,0.403,1.585,7.8,1,0.024
SHOP000517,0,25.0,98.0,0.21,0,142.8,0.276,0.018,0.022,0.973,0.274,0.228,0.007,3.523,0.044,0.384,1.836,3.6,0,0.047
SHOP000518,0,13.0,1.0,0.629,2,24.3,0.328,0.059,0.028,0.971,-0.031,0.18,0.007,0.636,0.296,0.52,1.833,7.7,1,0.035
SHOP000519,0,13.0,77.0,0.508,3,66.0,0.254,0.11,0.025,0.72,-0.224,0.298,0.093,1.171,0.312,0.406,1.906,4.1,1,0.046
SHOP000520,0,18.0,123.0,0.301,1,77.1,0.293,0.052,0.02,1.0,0.191,0.162,-0.16,-0.777,0.08,0.173,2.351,4.6,1,0.003
SHOP000521,0,22.0,54.0,0.345,2,100.8,0.188,0.048,0.009,0.941,0.051,0.2,0.291,2.233,0.063,0.401,3.119,4.7,0,0.0
SHOP000522,1,16.0,51.0,0.312,2,92.7,0.48,0.038,0.014,0.999,-0.499,0.205,-0.035,-1.821,0.222,0.439,1.835,4.5,1,0.055
SHOP000523,0,16.0,278.0,0.344,1,66.5,0.451,0.081,0.029,0.92,-0.132,0.21,-0.094,1.033,0.162,0.499,2.789,2.0,2,0.043
SHOP000524,0,26.0,92.0,0.297,3,140.2,0.079,0.065,0.095,0.842,-0.411,0.277,-0.064,-1.87,0.0,0.561,2.292,0.6,1,0.024
SHOP000525,0,34.0,108.0,0.389,1,142.0,0.402,0.071,0.041,0.895,0.095,0.163,-0.059,0.76,0.045,0.36,2.049,2.2,1,0.023
SHOP000526,0,19.0,59.0,0.463,4,102.9,0.193,0.142,0.044,0.819,0.195,0.098,-0.195,-0.384,0.21,0.718,1.301,3.1,2,0.002
SHOP000527,1,14.0,147.0,0.237,2,96.8,0.274,0.11,0.022,0.892,-0.387,0.185,0.047,0.316,0.135,0.479,2.162,3.9,1,0.036
SHOP000528,0,12.0,116.0,0.536,1,34.3,0.183,0.091,0.035,0.801,-0.081,0.216,0.162,0.556,0.076,0.263,2.266,7.6,2,0.064
SHOP000529,1,22.0,1.0,0.574,0,64.7,0.155,0.067,0.048,0.83,0.071,0.299,-0.053,-0.733,0.253,0.683,1.081,4.8,1,0.021
SHOP000530,0,17.0,159.0,0.292,0,75.5,0.216,0.057,0.008,0.913,0.104,0.237,0.043,0.919,0.153,0.29,2.92,2.6,2,0.017
SHOP000531,0,26.0,125.0,0.319,1,116.5,0.252,0.079,0.013,0.866,0.066,0.203,-0.106,1.164,0.096,0.379,2.157,2.1,1,0.022
SHOP000532,0,26.0,109.0,0.276,1,90.9,0.452,0.023,0.035,0.881,-0.17,0.084,0.063,1.356,0.242,0.406,2.414,7.0,1,0.047
SHOP000533,1,18.0,117.0,0.347,1,88.4,0.261,0.068,0.02,0.904,-0.064,0.196,0.139,-0.234,0.199,0.253,1.935,5.1,1,0.018
SHOP000534,0,22.0,347.0,0.319,1,92.1,0.431,0.063,0.015,0.915,0.068,0.159,0.05,2.119,0.113,0.213,2.391,4.7,0,0.034
SHOP000535,0,40.0,164.0,0.596,2,128.1,0.154,0.056,0.045,0.904,-0.229,0.177,0.058,-0.92,0.197,0.404,2.231,5.0,1,0.047
SHOP000536,0,20.0,23.0,0.494,3,146.5,0.365,0.066,0.047,0.906,-0.276,0.219,-0.009,1.223,0.068,0.472,2.208,6.4,0,0.033
SHOP000537,0,23.0,127.0,0.359,1,65.6,0.22,0.101,0.005,0.814,0.051,0.105,-0.047,-0.632,0.153,0.483,3.041,7.1,1,0.005
SHOP000538,0,25.0,87.0,0.432,2,90.4,0.38,0.031,0.006,0.922,0.229,0.093,0.124,0.746,0.144,0.413,2.42,2.7,0,0.008
SHOP000539,0,12.0,184.0,0.565,0,104.6,0.319,0.067,0.019,0.941,-0.111,0.219,0.047,1.82,0.0,0.433,1.899,5.1,1,0.025
SHOP000540,0,42.0,67.0,0.29,2,106.7,0.297,0.049,0.013,0.907,0.559,0.226,0.059,3.522,0.155,0.424,2.42,5.3,0,0.0
SHOP000541,0,29.0,132.0,0.269,0,101.0,0.129,0.014,0.018,0.928,0.119,0.133,-0.026,1.853,0.093,0.497,2.442,3.2,0,0.037
SHOP000542,1,21.0,208.0,0.476,1,141.7,0.184,0.085,0.025,0.931,0.032,0.247,0.021,-1.198,0.155,0.473,2.915,2.6,0,0.04
SHOP000543,0,23.0,124.0,0.598,1,93.3,0.383,0.091,0.03,0.988,-0.322,0.338,0.011,-0.207,0.065,0.481,1.631,5.7,1,0.059
SHOP000544,0,21.0,257.0,0.284,1,125.9,0.422,0.066,0.024,0.885,0.248,0.196,0.076,2.063,0.129,0.305,2.451,1.5,0,0.025
SHOP000545,0,22.0,115.0,0.291,2,102.2,0.303,0.076,0.02,0.952,-0.081,0.226,0.005,-1.83,0.051,0.469,1.964,6.0,1,0.043
SHOP000546,0,11.0,41.0,0.465,1,79.6,0.272,0.033,0.009,0.852,0.022,0.201,0.013,0.787,0.144,0.429,2.136,6.1,0,0.054
SHOP000547,0,15.0,107.0,0.326,3,74.7,0.093,0.03,0.037,0.942,0.005,0.152,0.138,1.101,0.041,0.487,3.107,3.7,0,0.018
SHOP000548,1,7.0,170.0,0.316,1,26.7,0.318,0.121,0.044,0.795,-0.247,0.26,0.086,0.229,0.228,0.463,2.32,3.8,1,0.065
SHOP000549,0,9.0,87.0,0.505,2,47.5,0.171,0.09,0.056,0.955,-0.012,0.297,-0.147,-1.27,0.066,0.606,2.001,7.0,0,0.053
SHOP000550,0,31.0,183.0,0.571,2,61.0,0.31,0.041,0.01,0.934,-0.32,0.366,-0.116,-0.594,0.103,0.474,2.44,3.8,1,0.021
SHOP000551,0,18.0,246.0,0.261,2,110.7,0.2,0.117,0.053,0.895,-0.203,0.241,0.007,-1.699,0.159,0.335,1.556,6.0,1,0.071
SHOP000552,1,18.0,87.0,0.483,1,85.3,0.339,0.064,0.029,0.872,-0.024,0.175,0.122,-0.636,0.069,0.627,1.915,5.0,2,0.047
SHOP000553,1,6.0,93.0,0.504,1,137.2,0.29,0.052,0.02,0.91,0.317,0.229,0.202,-2.751,0.197,0.388,1.926,6.6,3,0.077
SHOP000554,0,21.0,256.0,0.533,0,55.7,0.265,0.103,0.043,0.996,0.024,0.189,-0.194,-0.637,0.129,0.346,2.493,5.1,0,0.047
SHOP000555,1,30.0,111.0,0.347,1,79.8,0.4,0.074,0.018,0.844,0.108,0.12,0.007,1.409,0.096,0.278,1.51,7.4,1,0.042
SHOP000556,0,18.0,196.0,0.347,0,103.6,0.388,0.08,0.026,0.882,0.008,0.214,0.013,0.644,0.124,0.293,1.999,3.3,1,0.024
SHOP000557,0,18.0,198.0,0.294,2,108.3,0.366,0.021,0.003,0.962,0.146,0.193,-0.012,0.536,0.09,0.59,2.15,2.7,1,0.019
SHOP000558,0,24.0,349.0,0.299,1,128.6,0.209,0.05,0.017,0.943,0.306,0.279,0.134,2.977,0.04,0.326,2.541,4.0,1,0.018
SHOP000559,0,13.0,115.0,0.443,0,44.9,0.473,0.021,0.02,0.913,0.155,0.14,-0.063,0.447,0.129,0.436,2.443,2.4,0,0.04
SHOP000560,1,12.0,209.0,0.499,1,33.2,0.216,0.047,0.028,0.886,-0.043,0.204,-0.118,-0.34,0.049,0.523,2.89,3.4,0,0.023
SHOP000561,0,11.0,65.0,0.624,3,91.1,0.16,0.094,0.03,0.839,-0.34,0.237,0.181,1.54,0.116,0.301,2.418,3.6,0,0.054
SHOP000562,0,35.0,188.0,0.497,1,54.9,0.239,0.017,0.02,0.895,-0.128,0.166,0.116,1.234,0.063,0.244,1.888,7.2,1,0.017
SHOP000563,0,15.0,128.0,0.452,0,39.9,0.317,0.051,0.028,0.878,0.149,0.239,0.101,0.377,0.118,0.526,3.006,6.6,1,0.025
SHOP000564,0,8.0,80.0,0.519,0,34.7,0.239,0.073,0.032,0.795,-0.108,0.314,-0.02,0.324,0.133,0.544,1.053,8.1,2,0.069
SHOP000565,1,19.0,67.0,0.481,1,90.0,0.272,0.065,0.004,0.823,0.09,0.338,-0.166,-0.27,0.249,0.217,0.994,5.8,3,0.051
SHOP000566,0,12.0,108.0,0.408,2,72.0,0.341,0.127,0.045,0.83,0.248,0.21,0.026,1.268,0.223,0.496,2.72,7.2,1,0.041
SHOP000567,0,13.0,266.0,0.42,0,87.6,0.346,0.034,0.023,0.831,0.154,0.308,-0.044,1.334,0.157,0.507,2.499,4.1,1,0.024
SHOP000568,0,14.0,145.0,0.366,2,139.4,0.271,0.091,0.013,1.0,-0.13,0.244,0.018,0.812,0.128,0.426,1.505,5.0,2,0.056
SHOP000569,0,27.0,134.0,0.477,1,143.0,0.256,0.044,0.066,0.813,0.012,0.226,0.288,-0.455,0.091,0.56,1.66,5.5,1,0.085
SHOP000570,0,19.0,225.0,0.234,1,117.8,0.234,0.047,0.001,0.973,0.001,0.211,-0.062,0.879,0.105,0.491,2.206,3.3,1,0.051
SHOP000571,0,25.0,228.0,0.361,3,155.0,0.327,0.087,0.027,0.854,-0.049,0.272,0.126,-0.272,0.037,0.608,2.013,4.6,1,0.035
SHOP000572,0,19.0,226.0,0.414,3,112.2,0.316,0.083,0.039,0.765,0.139,0.139,-0.162,-0.751,0.13,0.532,1.399,5.0,1,0.005
SHOP000573,0,28.0,390.0,0.72,2,223.7,0.27,0.039,0.017,0.933,0.019,0.223,0.046,-0.024,0.173,0.284,1.948,3.7,0,0.033
SHOP000574,0,29.0,117.0,0.458,0,99.4,0.289,0.09,0.004,1.0,-0.242,0.174,-0.13,-0.784,0.117,0.438,1.666,2.7,0,0.018
SHOP000575,0,32.0,310.0,0.416,1,133.9,0.254,0.053,0.02,0.83,0.559,0.206,0.067,1.544,0.112,0.428,2.631,5.7,0,0.009
SHOP000576,1,16.0,78.0,0.579,3,90.7,0.14,0.125,0.02,0.913,-0.356,0.255,0.179,-1.328,0.159,0.568,1.954,1.4,1,0.024
SHOP000577,1,20.0,225.0,0.346,0,81.3,0.199,0.09,0.005,0.993,0.247,0.319,0.103,-1.892,0.183,0.664,1.704,8.1,2,0.019
SHOP000578,0,14.0,200.0,0.24,0,40.1,0.12,0.107,0.038,0.87,-0.195,0.193,0.053,1.753,0.165,0.545,2.31,9.5,0,0.027
SHOP000579,0,11.0,142.0,0.32,2,67.7,0.167,0.118,0.015,0.786,0.391,0.269,-0.105,-0.079,0.095,0.432,1.095,3.7,1,0.035
SHOP000580,0,17.0,239.0,0.367,1,84.5,0.373,0.058,0.011,0.957,0.237,0.237,-0.035,1.833,0.132,0.253,3.249,4.0,0,0.018
SHOP000581,0,27.0,192.0,0.253,2,60.4,0.481,0.017,0.004,0.964,0.075,0.177,0.034,0.485,0.106,0.193,2.015,3.0,1,0.033
SHOP000582,0,25.0,173.0,0.553,1,115.1,0.333,0.09,0.029,0.862,-0.003,0.34,0.014,-0.39,0.219,0.282,2.162,4.3,0,0.0
SHOP000583,0,18.0,146.0,0.384,1,129.7,0.491,0.037,0.029,0.926,-0.024,0.192,0.298,1.75,0.167,0.468,2.453,3.3,0,0.031
SHOP000584,0,22.0,95.0,0.518,0,103.8,0.198,0.0,0.011,0.848,-0.007,0.181,-0.109,-0.673,0.14,0.337,1.828,4.2,0,0.025
SHOP000585,1,7.0,179.0,0.44,2,78.7,0.112,0.093,0.034,0.755,-0.122,0.341,0.229,-2.724,0.11,0.553,1.587,9.2,0,0.0
SHOP000586,0,8.0,121.0,0.485,0,165.6,0.184,0.07,0.01,0.903,0.166,0.185,0.016,1.224,0.081,0.495,2.057,5.9,1,0.047
SHOP000587,0,11.0,120.0,0.325,0,142.9,0.531,0.024,0.032,0.909,-0.006,0.163,-0.002,-0.693,0.096,0.468,2.715,2.2,1,0.003
SHOP000588,0,16.0,89.0,0.425,1,94.8,0.294,0.111,0.041,0.903,0.226,0.249,0.171,0.738,0.193,0.557,2.299,6.9,1,0.048
SHOP000589,1,18.0,167.0,0.22,2,98.9,0.149,0.078,0.043,0.904,-0.054,0.231,0.024,-0.04,0.177,0.614,1.156,5.4,1,0.024
SHOP000590,0,24.0,168.0,0.22,0,145.5,0.288,0.038,0.022,0.97,0.383,0.177,-0.076,0.72,0.135,0.495,2.74,6.7,0,0.017
SHOP000591,1,21.0,131.0,0.447,1,114.9,0.335,0.066,0.015,0.867,0.21,0.235,0.095,-0.656,0.184,0.43,1.928,4.4,0,0.029
SHOP000592,1,6.0,128.0,0.494,1,132.3,0.349,0.04,0.041,0.955,-0.014,0.285,-0.183,-1.175,0.222,0.516,1.34,1.0,1,0.092
SHOP000593,0,34.0,128.0,0.505,0,154.2,0.447,0.0,0.003,1.0,0.161,0.183,0.106,1.762,0.139,0.38,2.138,4.3,0,0.004
SHOP000594,0,24.0,102.0,0.305,1,87.3,0.345,0.016,0.03,0.967,-0.244,0.116,0.157,-1.024,0.211,0.514,2.361,3.8,0,0.016
SHOP000595,0,28.0,60.0,0.285,3,148.3,0.352,0.068,0.01,0.816,0.027,0.181,0.238,0.481,0.13,0.303,2.806,6.1,0,0.03
SHOP000596,0,19.0,136.0,0.511,0,68.6,0.421,0.073,0.019,0.901,0.063,0.058,0.162,1.534,0.225,0.334,2.142,3.4,1,0.029
SHOP000597,0,24.0,330.0,0.307,4,136.4,0.077,0.096,0.028,0.825,-0.132,0.178,0.164,0.784,0.225,0.305,1.371,8.0,2,0.083
SHOP000598,0,20.0,149.0,0.704,0,76.1,0.152,0.115,0.026,0.953,-0.275,0.072,-0.044,0.395,0.159,0.36,1.472,7.7,1,0.018
SHOP000599,0,26.0,203.0,0.24,0,164.3,0.218,0.003,0.038,0.941,-0.077,0.209,0.134,0.919,0.158,0.09,1.547,4.6,0,0.027
SHOP000600,0,24.0,177.0,0.29,2,107.5,0.156,0.116,0.041,0.871,-0.082,0.184,-0.114,0.035,0.214,0.563,1.451,7.3,0,0.027
SHOP000601,0,10.0,138.0,0.327,0,67.1,0.311,0.03,0.019,0.873,0.326,0.282,0.062,0.237,0.095,0.697,2.426,5.0,0,0.013
